"count","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered"
16,"2011-01-01 00:00:00",1,0,0,1,9.84,14.395,81,0,3,13
40,"2011-01-01 01:00:00",1,0,0,1,9.02,13.635,80,0,8,32
32,"2011-01-01 02:00:00",1,0,0,1,9.02,13.635,80,0,5,27
13,"2011-01-01 03:00:00",1,0,0,1,9.84,14.395,75,0,3,10
1,"2011-01-01 04:00:00",1,0,0,1,9.84,14.395,75,0,0,1
1,"2011-01-01 05:00:00",1,0,0,2,9.84,12.88,75,6.0032,0,1
2,"2011-01-01 06:00:00",1,0,0,1,9.02,13.635,80,0,2,0
3,"2011-01-01 07:00:00",1,0,0,1,8.2,12.88,86,0,1,2
8,"2011-01-01 08:00:00",1,0,0,1,9.84,14.395,75,0,1,7
14,"2011-01-01 09:00:00",1,0,0,1,13.12,17.425,76,0,8,6
36,"2011-01-01 10:00:00",1,0,0,1,15.58,19.695,76,16.9979,12,24
56,"2011-01-01 11:00:00",1,0,0,1,14.76,16.665,81,19.0012,26,30
84,"2011-01-01 12:00:00",1,0,0,1,17.22,21.21,77,19.0012,29,55
94,"2011-01-01 13:00:00",1,0,0,2,18.86,22.725,72,19.9995,47,47
106,"2011-01-01 14:00:00",1,0,0,2,18.86,22.725,72,19.0012,35,71
110,"2011-01-01 15:00:00",1,0,0,2,18.04,21.97,77,19.9995,40,70
93,"2011-01-01 16:00:00",1,0,0,2,17.22,21.21,82,19.9995,41,52
67,"2011-01-01 17:00:00",1,0,0,2,18.04,21.97,82,19.0012,15,52
35,"2011-01-01 18:00:00",1,0,0,3,17.22,21.21,88,16.9979,9,26
37,"2011-01-01 19:00:00",1,0,0,3,17.22,21.21,88,16.9979,6,31
36,"2011-01-01 20:00:00",1,0,0,2,16.4,20.455,87,16.9979,11,25
34,"2011-01-01 21:00:00",1,0,0,2,16.4,20.455,87,12.998,3,31
28,"2011-01-01 22:00:00",1,0,0,2,16.4,20.455,94,15.0013,11,17
39,"2011-01-01 23:00:00",1,0,0,2,18.86,22.725,88,19.9995,15,24
17,"2011-01-02 00:00:00",1,0,0,2,18.86,22.725,88,19.9995,4,13
17,"2011-01-02 01:00:00",1,0,0,2,18.04,21.97,94,16.9979,1,16
9,"2011-01-02 02:00:00",1,0,0,2,17.22,21.21,100,19.0012,1,8
6,"2011-01-02 03:00:00",1,0,0,2,18.86,22.725,94,12.998,2,4
3,"2011-01-02 04:00:00",1,0,0,2,18.86,22.725,94,12.998,2,1
2,"2011-01-02 06:00:00",1,0,0,3,17.22,21.21,77,19.9995,0,2
1,"2011-01-02 07:00:00",1,0,0,2,16.4,20.455,76,12.998,0,1
8,"2011-01-02 08:00:00",1,0,0,3,16.4,20.455,71,15.0013,0,8
20,"2011-01-02 09:00:00",1,0,0,2,15.58,19.695,76,15.0013,1,19
53,"2011-01-02 10:00:00",1,0,0,2,14.76,17.425,81,15.0013,7,46
70,"2011-01-02 11:00:00",1,0,0,2,14.76,16.665,71,16.9979,16,54
93,"2011-01-02 12:00:00",1,0,0,2,14.76,16.665,66,19.9995,20,73
75,"2011-01-02 13:00:00",1,0,0,2,14.76,17.425,66,8.9981,11,64
59,"2011-01-02 14:00:00",1,0,0,3,14.76,17.425,76,12.998,4,55
74,"2011-01-02 15:00:00",1,0,0,3,13.94,16.665,81,11.0014,19,55
76,"2011-01-02 16:00:00",1,0,0,3,13.94,16.665,71,11.0014,9,67
65,"2011-01-02 17:00:00",1,0,0,1,13.94,16.665,57,12.998,7,58
53,"2011-01-02 18:00:00",1,0,0,2,14.76,16.665,46,22.0028,10,43
30,"2011-01-02 19:00:00",1,0,0,1,13.12,14.395,42,30.0026,1,29
22,"2011-01-02 20:00:00",1,0,0,1,12.3,13.635,39,23.9994,5,17
31,"2011-01-02 21:00:00",1,0,0,1,10.66,11.365,44,22.0028,11,20
9,"2011-01-02 22:00:00",1,0,0,1,9.84,10.605,44,19.9995,0,9
8,"2011-01-02 23:00:00",1,0,0,1,9.02,11.365,47,11.0014,0,8
5,"2011-01-03 00:00:00",1,0,1,1,9.02,9.85,44,23.9994,0,5
2,"2011-01-03 01:00:00",1,0,1,1,8.2,8.335,44,27.9993,0,2
1,"2011-01-03 04:00:00",1,0,1,1,6.56,6.82,47,26.0027,0,1
3,"2011-01-03 05:00:00",1,0,1,1,6.56,6.82,47,19.0012,0,3
30,"2011-01-03 06:00:00",1,0,1,1,5.74,5.305,50,26.0027,0,30
64,"2011-01-03 07:00:00",1,0,1,1,5.74,6.82,50,12.998,1,63
154,"2011-01-03 08:00:00",1,0,1,1,5.74,6.06,50,19.0012,1,153
88,"2011-01-03 09:00:00",1,0,1,1,6.56,6.82,43,26.0027,7,81
44,"2011-01-03 10:00:00",1,0,1,1,7.38,8.335,43,16.9979,11,33
51,"2011-01-03 11:00:00",1,0,1,1,8.2,9.09,40,22.0028,10,41
61,"2011-01-03 12:00:00",1,0,1,1,9.02,10.605,35,19.9995,13,48
61,"2011-01-03 13:00:00",1,0,1,1,9.84,10.605,35,19.0012,8,53
77,"2011-01-03 14:00:00",1,0,1,1,10.66,12.12,30,19.0012,11,66
72,"2011-01-03 15:00:00",1,0,1,1,10.66,12.12,30,16.9979,14,58
76,"2011-01-03 16:00:00",1,0,1,1,10.66,12.12,30,16.9979,9,67
157,"2011-01-03 17:00:00",1,0,1,1,9.84,11.365,30,15.0013,11,146
157,"2011-01-03 18:00:00",1,0,1,1,9.84,12.88,32,7.0015,9,148
110,"2011-01-03 19:00:00",1,0,1,1,8.2,12.88,47,0,8,102
52,"2011-01-03 20:00:00",1,0,1,1,8.2,11.365,47,7.0015,3,49
52,"2011-01-03 21:00:00",1,0,1,1,7.38,9.85,64,8.9981,3,49
20,"2011-01-03 22:00:00",1,0,1,1,5.74,7.575,69,8.9981,0,20
12,"2011-01-03 23:00:00",1,0,1,1,7.38,10.605,55,7.0015,1,11
5,"2011-01-04 00:00:00",1,0,1,1,6.56,9.09,55,7.0015,0,5
2,"2011-01-04 01:00:00",1,0,1,1,6.56,9.09,59,7.0015,0,2
1,"2011-01-04 02:00:00",1,0,1,1,5.74,7.575,63,8.9981,0,1
2,"2011-01-04 04:00:00",1,0,1,1,5.74,9.09,63,6.0032,0,2
4,"2011-01-04 05:00:00",1,0,1,1,4.92,7.575,68,7.0015,0,4
36,"2011-01-04 06:00:00",1,0,1,1,4.92,7.575,74,7.0015,0,36
94,"2011-01-04 07:00:00",1,0,1,1,4.92,7.575,74,8.9981,2,92
179,"2011-01-04 08:00:00",1,0,1,1,5.74,7.575,69,11.0014,2,177
100,"2011-01-04 09:00:00",1,0,1,1,6.56,7.575,64,15.0013,2,98
42,"2011-01-04 10:00:00",1,0,1,2,6.56,6.82,69,22.0028,5,37
57,"2011-01-04 11:00:00",1,0,1,1,9.02,10.605,51,19.9995,7,50
78,"2011-01-04 12:00:00",1,0,1,1,9.02,11.365,51,11.0014,12,66
97,"2011-01-04 13:00:00",1,0,1,1,9.84,11.365,56,12.998,18,79
63,"2011-01-04 14:00:00",1,0,1,1,10.66,12.88,52,15.0013,9,54
65,"2011-01-04 15:00:00",1,0,1,1,11.48,13.635,52,16.9979,17,48
83,"2011-01-04 16:00:00",1,0,1,1,12.3,14.395,49,16.9979,15,68
212,"2011-01-04 17:00:00",1,0,1,1,11.48,13.635,48,15.0013,10,202
182,"2011-01-04 18:00:00",1,0,1,1,10.66,12.88,48,12.998,3,179
112,"2011-01-04 19:00:00",1,0,1,1,9.84,12.88,48,7.0015,2,110
54,"2011-01-04 20:00:00",1,0,1,1,9.84,12.88,48,7.0015,1,53
48,"2011-01-04 21:00:00",1,0,1,1,9.02,13.635,64,0,0,48
35,"2011-01-04 22:00:00",1,0,1,1,9.02,12.88,64,6.0032,1,34
11,"2011-01-04 23:00:00",1,0,1,1,8.2,11.365,69,6.0032,2,9
6,"2011-01-05 00:00:00",1,0,1,1,8.2,12.88,64,0,0,6
6,"2011-01-05 01:00:00",1,0,1,1,6.56,9.85,74,6.0032,0,6
2,"2011-01-05 02:00:00",1,0,1,1,6.56,9.85,74,6.0032,0,2
2,"2011-01-05 04:00:00",1,0,1,1,9.84,11.365,48,15.0013,0,2
3,"2011-01-05 05:00:00",1,0,1,1,9.02,11.365,47,11.0014,0,3
33,"2011-01-05 06:00:00",1,0,1,1,8.2,9.85,47,15.0013,0,33
88,"2011-01-05 07:00:00",1,0,1,1,7.38,9.09,43,12.998,1,87
195,"2011-01-05 08:00:00",1,0,1,1,8.2,9.09,40,19.9995,3,192
115,"2011-01-05 09:00:00",1,0,1,1,9.02,9.85,37,22.0028,6,109
57,"2011-01-05 10:00:00",1,0,1,1,9.02,9.85,37,22.0028,4,53
46,"2011-01-05 11:00:00",1,0,1,1,10.66,11.365,33,22.0028,12,34
79,"2011-01-05 12:00:00",1,0,1,1,10.66,11.365,33,22.0028,5,74
71,"2011-01-05 13:00:00",1,0,1,1,11.48,12.88,30,19.9995,6,65
62,"2011-01-05 14:00:00",1,0,1,1,12.3,14.395,28,12.998,10,52
62,"2011-01-05 15:00:00",1,0,1,1,12.3,14.395,28,12.998,7,55
89,"2011-01-05 16:00:00",1,0,1,1,12.3,15.91,28,6.0032,4,85
190,"2011-01-05 17:00:00",1,0,1,1,9.84,11.365,38,12.998,4,186
169,"2011-01-05 18:00:00",1,0,1,1,9.84,12.12,38,8.9981,3,166
132,"2011-01-05 19:00:00",1,0,1,1,9.84,12.88,38,7.0015,5,127
89,"2011-01-05 20:00:00",1,0,1,1,9.02,11.365,47,11.0014,7,82
43,"2011-01-05 21:00:00",1,0,1,1,8.2,9.85,51,12.998,3,40
42,"2011-01-05 22:00:00",1,0,1,1,7.38,9.85,55,8.9981,1,41
19,"2011-01-05 23:00:00",1,0,1,1,8.2,12.88,47,0,1,18
11,"2011-01-06 00:00:00",1,0,1,1,7.38,12.12,55,0,0,11
4,"2011-01-06 01:00:00",1,0,1,1,6.56,11.365,64,0,0,4
2,"2011-01-06 02:00:00",1,0,1,1,6.56,11.365,64,0,0,2
1,"2011-01-06 04:00:00",1,0,1,2,6.56,9.85,64,6.0032,0,1
4,"2011-01-06 05:00:00",1,0,1,2,5.74,9.09,69,6.0032,0,4
36,"2011-01-06 06:00:00",1,0,1,2,5.74,8.335,63,7.0015,0,36
95,"2011-01-06 07:00:00",1,0,1,2,6.56,11.365,59,0,0,95
219,"2011-01-06 08:00:00",1,0,1,1,6.56,11.365,59,0,3,216
122,"2011-01-06 09:00:00",1,0,1,2,7.38,12.12,51,0,6,116
45,"2011-01-06 10:00:00",1,0,1,1,8.2,12.88,47,0,3,42
59,"2011-01-06 11:00:00",1,0,1,1,9.02,12.88,44,6.0032,2,57
84,"2011-01-06 12:00:00",1,0,1,1,10.66,14.395,35,0,6,78
67,"2011-01-06 13:00:00",1,0,1,1,10.66,13.635,35,7.0015,12,55
70,"2011-01-06 14:00:00",1,0,1,1,11.48,13.635,36,11.0014,11,59
62,"2011-01-06 15:00:00",1,0,1,1,11.48,13.635,36,0,8,54
86,"2011-01-06 16:00:00",1,0,1,1,10.66,12.88,38,11.0014,12,74
172,"2011-01-06 17:00:00",1,0,1,1,9.02,11.365,51,11.0014,9,163
163,"2011-01-06 18:00:00",1,0,1,1,9.02,11.365,51,8.9981,5,158
112,"2011-01-06 19:00:00",1,0,1,1,9.02,12.88,55,6.0032,3,109
69,"2011-01-06 20:00:00",1,0,1,1,8.2,10.605,51,11.0014,3,66
48,"2011-01-06 21:00:00",1,0,1,2,9.02,10.605,55,15.0013,0,48
52,"2011-01-06 22:00:00",1,0,1,2,9.02,10.605,51,19.0012,1,51
23,"2011-01-06 23:00:00",1,0,1,2,8.2,9.85,59,12.998,4,19
17,"2011-01-07 00:00:00",1,0,1,2,8.2,9.85,64,12.998,4,13
7,"2011-01-07 01:00:00",1,0,1,2,8.2,9.85,69,15.0013,2,5
1,"2011-01-07 02:00:00",1,0,1,2,8.2,9.85,69,15.0013,0,1
1,"2011-01-07 04:00:00",1,0,1,2,8.2,10.605,69,8.9981,0,1
5,"2011-01-07 05:00:00",1,0,1,3,9.02,13.635,55,0,0,5
34,"2011-01-07 06:00:00",1,0,1,2,8.2,12.88,69,0,8,26
84,"2011-01-07 07:00:00",1,0,1,1,8.2,10.605,69,8.9981,8,76
210,"2011-01-07 08:00:00",1,0,1,1,8.2,9.85,51,16.9979,20,190
134,"2011-01-07 09:00:00",1,0,1,1,8.2,9.09,47,19.9995,9,125
63,"2011-01-07 10:00:00",1,0,1,1,9.02,9.85,37,22.0028,16,47
67,"2011-01-07 11:00:00",1,0,1,2,8.2,9.85,40,15.0013,19,48
59,"2011-01-07 12:00:00",1,0,1,2,8.2,9.85,37,16.9979,9,50
73,"2011-01-07 13:00:00",1,0,1,2,8.2,9.09,37,19.0012,9,64
50,"2011-01-07 14:00:00",1,0,1,2,8.2,9.85,40,16.9979,7,43
72,"2011-01-07 15:00:00",1,0,1,2,8.2,10.605,37,11.0014,9,63
87,"2011-01-07 16:00:00",1,0,1,2,8.2,10.605,37,11.0014,5,82
187,"2011-01-07 17:00:00",1,0,1,2,8.2,12.88,37,0,9,178
123,"2011-01-07 18:00:00",1,0,1,1,8.2,11.365,40,6.0032,7,116
95,"2011-01-07 19:00:00",1,0,1,1,6.56,9.85,55,6.0032,3,92
51,"2011-01-07 20:00:00",1,0,1,1,7.38,10.605,47,7.0015,1,50
39,"2011-01-07 21:00:00",1,0,1,1,7.38,9.85,47,8.9981,0,39
36,"2011-01-07 22:00:00",1,0,1,2,7.38,9.85,43,11.0014,2,34
15,"2011-01-07 23:00:00",1,0,1,2,7.38,9.85,51,11.0014,1,14
25,"2011-01-08 00:00:00",1,0,0,2,7.38,9.85,51,11.0014,1,24
16,"2011-01-08 01:00:00",1,0,0,2,7.38,10.605,55,6.0032,1,15
16,"2011-01-08 02:00:00",1,0,0,2,7.38,12.12,55,0,3,13
7,"2011-01-08 03:00:00",1,0,0,3,7.38,9.85,55,11.0014,0,7
1,"2011-01-08 04:00:00",1,0,0,3,7.38,9.85,55,11.0014,0,1
5,"2011-01-08 05:00:00",1,0,0,2,6.56,8.335,74,11.0014,0,5
2,"2011-01-08 06:00:00",1,0,0,2,6.56,8.335,74,11.0014,0,2
9,"2011-01-08 07:00:00",1,0,0,2,6.56,9.09,74,7.0015,1,8
15,"2011-01-08 08:00:00",1,0,0,3,6.56,9.09,93,7.0015,0,15
20,"2011-01-08 09:00:00",1,0,0,3,6.56,9.09,93,7.0015,0,20
61,"2011-01-08 10:00:00",1,0,0,2,7.38,9.85,80,11.0014,5,56
62,"2011-01-08 11:00:00",1,0,0,2,8.2,9.09,69,26.0027,2,60
98,"2011-01-08 12:00:00",1,0,0,2,8.2,9.09,59,23.9994,8,90
102,"2011-01-08 13:00:00",1,0,0,1,8.2,9.09,44,22.0028,7,95
95,"2011-01-08 14:00:00",1,0,0,1,8.2,8.335,32,32.9975,12,83
74,"2011-01-08 15:00:00",1,0,0,1,8.2,8.335,32,30.0026,5,69
76,"2011-01-08 16:00:00",1,0,0,1,7.38,6.82,29,30.0026,8,68
69,"2011-01-08 17:00:00",1,0,0,1,6.56,6.06,37,36.9974,5,64
55,"2011-01-08 18:00:00",1,0,0,1,5.74,6.06,39,19.9995,3,52
30,"2011-01-08 19:00:00",1,0,0,1,5.74,6.06,36,16.9979,4,26
28,"2011-01-08 20:00:00",1,0,0,1,4.92,6.06,36,16.9979,0,28
37,"2011-01-08 21:00:00",1,0,0,1,4.92,5.305,39,23.9994,2,35
34,"2011-01-08 22:00:00",1,0,0,1,4.92,5.305,36,26.0027,1,33
22,"2011-01-08 23:00:00",1,0,0,1,4.1,3.03,39,30.0026,0,22
25,"2011-01-09 00:00:00",1,0,0,1,4.1,3.79,42,26.0027,1,24
12,"2011-01-09 01:00:00",1,0,0,1,4.1,3.03,42,31.0009,0,12
